record	YYYY	deaths	weapon	OECD	Iraq/Afghan
00027	1968	2	2	0	0
00045	1968	1	6	0	0
00076	1968	1	4	0	0
00078	1968	1	2	0	0
00080	1968	5	6	0	0
00081	1968	1	4	0	0
00090	1968	1	4	0	0
00096	1968	3	6	1	0
00102	1968	12	2	0	0
00104	1968	1	4	1	0
00110	1969	1	4	1	0
00111	1969	2	2	0	0
00120	1973	2	6	0	0
00135	1976	1	2	1	0
00136	1976	1	6	1	0
00139	1976	1	4	0	0
00149	1979	1	4	0	0
00156	1975	11	4	0	0
00168	1976	1	4	0	0
00170	1976	5	2	0	0
00171	1976	5	4	0	0
00172	1976	1	6	0	0
00176	1976	2	6	0	0
00177	1976	4	2	1	0
00179	1979	1	4	1	0
00186	1979	4	2	1	0
00201	1982	1	4	1	0
00212	1984	4	2	0	0
00220	1984	31	2	0	0
00229	1985	1	6	0	0
00239	1979	1	4	1	0
00242	1979	1	2	0	0
00254	1980	1	2	1	0
00256	1982	1	6	0	0
00262	1983	4	6	0	1
00295	1969	1	2	0	0
00299	1969	2	2	0	0
00309	1969	1	4	0	0
00351	1969	1	2	1	0
00366	1970	1	4	0	0
00367	1970	1	4	0	0
00369	1970	19	2	0	0
00371	1970	1	2	1	0
00372	1970	47	2	1	0
00374	1970	1	4	0	0
00382	1970	2	4	0	0
00392	1970	1	4	0	0
00405	1970	1	4	0	0
00412	1970	1	4	0	0
00418	1970	8	2	0	0
00425	1972	1	2	1	0
00430	1972	25	2	0	0
00431	1972	1	2	0	0
00438	1973	1	6	1	0
00444	1973	1	2	0	0
00445	1973	1	4	1	0
00446	1975	1	2	0	0
00447	1975	2	4	1	0
00449	1975	1	6	1	0
00453	1975	11	2	1	0
00478	1983	1	2	1	0
00483	1983	5	2	0	0
00484	1983	241	2	0	0
00485	1983	59	2	0	0
00492	1984	1	6	1	0
00499	1984	2	4	1	0
00503	1970	1	4	0	0
00504	1970	1	6	0	0
00505	1970	3	2	0	0
00506	1970	3	4	0	0
00526	1970	1	6	0	0
00543	1970	1	6	1	0
00567	1970	1	6	1	0
00591	1970	4	6	0	0
00592	1970	2	2	0	0
00612	1970	1	6	0	0
00621	1971	1	4	0	0
00626	1971	1	4	0	0
00627	1971	1	2	0	0
00630	1971	1	2	0	0
00654	1971	1	3	0	0
00667	1971	1	4	1	0
00674	1971	1	6	1	0
00681	1971	23	2	0	0
